,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,24,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0
1,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
2,1,0,3,0,0,0,0,0,2,1,3,0,1,1,0,0,0
3,1,2,0,4,0,0,1,0,0,0,1,0,0,0,0,1,3
4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
5,1,0,1,0,0,4,0,0,1,0,1,0,0,1,0,0,0
6,0,0,0,0,1,0,5,0,4,0,0,0,0,2,0,4,1
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,2,0,0,0,0,0,15,1,1,0,2,3,0,1,2
9,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0
10,2,0,0,1,0,1,2,1,1,1,19,0,1,1,0,0,1
11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
12,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,2,0
13,5,0,1,0,0,0,0,0,0,0,1,0,1,16,0,1,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
15,0,0,2,0,0,0,1,0,2,2,4,0,0,0,1,16,1
16,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,13
