player_key,player_name,first_season,last_season,player_image
1,A Ashish Reddy,2012,2016,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ashish%20Reddy.png
2,A Badoni,2022,2026,https://www.espncricinfo.com/cricketers/ayush-badoni-1151270
3,A Chandila,2012,2013,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ajit%20Chandila.png
4,A Chopra,2008,2009,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aakash%20Chopra.png
5,A Choudhary,2017,2017,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Anukul%20Choudhary.png
6,A Dananjaya,2018,2018,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Akila%20Dananjaya.png
7,A Flintoff,2009,2009,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Andrew%20Flintoff.png
8,A Kamboj,2024,2026,https://www.espncricinfo.com/cricketers/anshul-kamboj-1175428
9,A Kumble,2008,2010,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Anil%20Kumble.png
10,A Manohar,2022,2025,https://www.espncricinfo.com/cricketers/abhinav-manohar-778963
11,A Mhatre,2025,2026,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ayush%20Mhatre.png
12,A Mishra,2008,2024,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Amit%20Mishra.png
13,A Mithun,2009,2013,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhimanyu%20Mithun.png
14,A Mukund,2008,2013,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhinav%20Mukund.png
15,A Nehra,2008,2017,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ashish%20Nehra.png
16,A Nel,2008,2008,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Andre%20Nel.png
17,A Nortje,2021,2026,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Anrich%20Nortje.png
18,A Raghuvanshi,2024,2026,https://www.espncricinfo.com/cricketers/angkrish-raghuvanshi-1292495
19,A Singh,2009,2012,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Amrit%20Singh.png
20,A Symonds,2008,2011,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Andrew%20Symonds.png
21,A Tomar,2022,2022,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ayush%20Tomar.png
22,A Uniyal,2010,2010,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aniket%20Uniyal.png
23,A Zampa,2016,2025,https://www.espncricinfo.com/cricketers/adam-zampa-379504
24,AA Bilakhia,2009,2010,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Atul%20Bilakhia.png
25,AA Chavan,2011,2013,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ankeet%20Chavan.png
26,AA Jhunjhunwala,2010,2012,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Anirudh%20Jhunjhunwala.png
27,AA Kazi,2011,2011,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Akhil%20Kazi.png
28,AA Kulkarni,2024,2026,https://www.espncricinfo.com/cricketers/arshin-kulkarni-1403153
29,AA Noffke,2008,2008,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ashley%20Noffke.png
30,AB Agarkar,2008,2013,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ajit%20Agarkar.png
31,AB Barath,2010,2010,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Adrian%20Barath.png
32,AB Dinda,2008,2017,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ashok%20Dinda.png
33,AB McDonald,2009,2013,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Andrew%20McDonald.png
34,AB de Villiers,2008,2021,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/AB%20de%20Villiers.png
35,AC Blizzard,2011,2012,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Adam%20Blizzard.png
36,AC Gilchrist,2008,2013,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/319600/319684.png"
37,AC Thomas,2011,2012,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Alfonso%20Thomas.png
38,AC Voges,2010,2010,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Adam%20Voges.png
39,AD Hales,2018,2018,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Alex%20Hales.png
40,AD Mascarenhas,2008,2013,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Dimitri%20Mascarenhas.png
41,AD Mathews,2009,2017,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Angelo%20Mathews.png
42,AD Nath,2016,2019,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhishek%20Nath.png
43,AD Russell,2012,2025,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Andre%20Russell.png
44,AF Milne,2016,2026,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Adam%20Milne.png
45,AG Murtaza,2010,2013,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abdur%20Razzak.png
46,AG Paunikar,2010,2011,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Amit%20Paunikar.png
47,AJ Finch,2010,2022,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aaron%20Finch.png
48,AJ Hosein,2023,2026,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Akeal%20Hosein.png
49,AJ Turner,2019,2024,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ashton%20Turner.png
50,AJ Tye,2017,2022,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Andrew%20Tye.png
51,AK Markram,2021,2026,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aiden%20Markram.png
52,AL Menaria,2011,2013,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ankit%20Menaria.png
53,AM Ghazanfar,2026,2026,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Mohammad%20Ghazanfar.png
54,AM Nayar,2008,2014,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhishek%20Nayar.png
55,AM Rahane,2008,2026,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ajinkya%20Rahane.png
56,AM Salvi,2009,2011,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Amol%20Salvi.png
57,AN Ahmed,2010,2015,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Anwar%20Ali.png
58,AN Ghosh,2009,2009,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Anustup%20Majumdar.png
59,AP Dole,2010,2010,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aniket%20Dole.png
60,AP Majumdar,2012,2012,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Anustup%20Majumdar.png
61,AP Tare,2010,2018,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aditya%20Tare.png
62,AR Bawne,2017,2017,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ankit%20Bawne.png
