match_id,season,match_date,team1,team2,winner,win_type,win_margin,venue,city,toss_winner,toss_decision,player_of_match,match_type,is_completed,team1_score,team2_score
335982,2008,2008-04-18,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Runs,140,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Royal Challengers Bengaluru,field,BB McCullum,T20,True,222,82
335983,2008,2008-04-19,Kings Xi Punjab,Chennai Super Kings,Chennai Super Kings,Runs,33,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,Chennai Super Kings,bat,MEK Hussey,T20,True,240,207
335984,2008,2008-04-19,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Wickets,9,Feroz Shah Kotla,Delhi,Rajasthan Royals,bat,MF Maharoof,T20,True,129,132
335985,2008,2008-04-20,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Wickets,5,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,bat,MV Boucher,T20,True,165,166
335986,2008,2008-04-20,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Wickets,5,"Eden Gardens, Kolkata",Kolkata,Deccan Chargers,bat,DJ Hussey,T20,True,110,112
335987,2008,2008-04-21,Rajasthan Royals,Kings Xi Punjab,Rajasthan Royals,Wickets,6,"Sawai Mansingh Stadium, Jaipur",Jaipur,Kings XI Punjab,bat,SR Watson,T20,True,166,168
335988,2008,2008-04-22,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,Wickets,9,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Deccan Chargers,bat,V Sehwag,T20,True,142,143
335989,2008,2008-04-23,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Runs,6,"Ma Chidambaram Stadium, Chepauk",Chennai,Mumbai Indians,field,ML Hayden,T20,True,208,202
335990,2008,2008-04-24,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Wickets,3,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Rajasthan Royals,field,YK Pathan,T20,True,214,217
335991,2008,2008-04-25,Kings Xi Punjab,Mumbai Indians,Kings XI Punjab,Runs,66,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,Mumbai Indians,field,KC Sangakkara,T20,True,182,116
335992,2008,2008-04-26,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Wickets,7,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Rajasthan Royals,field,SR Watson,T20,True,135,138
335993,2008,2008-04-26,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Wickets,9,"Ma Chidambaram Stadium, Chepauk",Chennai,Kolkata Knight Riders,bat,JDP Oram,T20,True,147,152
